geography,count,total,industryName,id
E06000057,2274,140780,Real estate activities,114
E06000057,7282,140780,"Professional, scientific and technical activities",115
E06000057,6448,140780,Administrative and support service activities,116
E06000057,11590,140780,Public administration and defence; compulsory social security,117
E06000057,12077,140780,Education,118
E06000057,24552,140780,Human health and social work activities,119
E08000021,163,125084,"Agriculture, Forestry and fishing",120
E08000021,354,125084,Mining and quarrying,121
E08000021,6523,125084,Manufacturing,122
E08000021,775,125084,"Electricity, gas, steam and air conditioning supply",123
E08000021,449,125084,"Water supply; Sewerage, Waste management and Remediation activities",124
E08000021,7803,125084,Construction,125
E08000021,17007,125084,Wholesale and retail trade; repair of motor vehicles and motorcycles,126
E08000021,5646,125084,Transport and storage,127
E08000021,9286,125084,Accommodation and food service activities,128
E08000021,5769,125084,Information and communication,129
E08000021,3509,125084,Financial and insurance activities,130
E08000021,1901,125084,Real estate activities,131
E08000021,7897,125084,"Professional, scientific and technical activities",132
E08000021,6680,125084,Administrative and support service activities,133
E08000021,9047,125084,Public administration and defence; compulsory social security,134
E08000021,13678,125084,Education,135
E08000021,23254,125084,Human health and social work activities,136
E08000022,145,97270,"Agriculture, Forestry and fishing",137
E08000022,538,97270,Mining and quarrying,138
E08000022,6377,97270,Manufacturing,139
E08000022,882,97270,"Electricity, gas, steam and air conditioning supply",140
E08000022,488,97270,"Water supply; Sewerage, Waste management and Remediation activities",141
E08000022,7050,97270,Construction,142
E08000022,12936,97270,Wholesale and retail trade; repair of motor vehicles and motorcycles,143
E08000022,3744,97270,Transport and storage,144
E08000022,4859,97270,Accommodation and food service activities,145
E08000022,5117,97270,Information and communication,146
E08000022,3035,97270,Financial and insurance activities,147
E08000022,1389,97270,Real estate activities,148
E08000022,4971,97270,"Professional, scientific and technical activities",149
E08000022,4708,97270,Administrative and support service activities,150
E08000022,10049,97270,Public administration and defence; compulsory social security,151
E08000022,10469,97270,Education,152
E08000022,16631,97270,Human health and social work activities,153
E08000023,61,62517,"Agriculture, Forestry and fishing",154
E08000023,511,62517,Mining and quarrying,155
E08000023,5961,62517,Manufacturing,156
E08000023,714,62517,"Electricity, gas, steam and air conditioning supply",157
E08000023,448,62517,"Water supply; Sewerage, Waste management and Remediation activities",158
E08000023,5323,62517,Construction,159
E08000023,8724,62517,Wholesale and retail trade; repair of motor vehicles and motorcycles,160
E08000023,3339,62517,Transport and storage,161
E08000023,2965,62517,Accommodation and food service activities,162
E08000023,1970,62517,Information and communication,163
E08000023,1625,62517,Financial and insurance activities,164
E08000023,780,62517,Real estate activities,165
E08000023,2451,62517,"Professional, scientific and technical activities",166
E08000023,2882,62517,Administrative and support service activities,167
E08000023,5754,62517,Public administration and defence; compulsory social security,168
E08000023,5951,62517,Education,169
E08000023,10661,62517,Human health and social work activities,170
E08000024,147,117153,"Agriculture, Forestry and fishing",171
E08000024,423,117153,Mining and quarrying,172
E08000024,12825,117153,Manufacturing,173
E08000024,2010,117153,"Electricity, gas, steam and air conditioning supply",174
E08000024,851,117153,"Water supply; Sewerage, Waste management and Remediation activities",175
E08000024,9476,117153,Construction,176
E08000024,18449,117153,Wholesale and retail trade; repair of motor vehicles and motorcycles,177
E08000024,5763,117153,Transport and storage,178
E08000024,5538,117153,Accommodation and food service activities,179
E08000024,3188,117153,Information and communication,180
E08000024,4079,117153,Financial and insurance activities,181
E08000024,1752,117153,Real estate activities,182
